"Activity","Subject","variable","value"
"LAYING",1,40,-0.562911611255539
"SITTING",1,40,-0.584725960255462
"STANDING",1,40,-0.604246709315753
"WALKING",1,40,-0.163082309727183
"WALKING_DOWNSTAIRS",1,40,-0.123381646209478
"WALKING_UPSTAIRS",1,40,-0.307103990105455
"LAYING",2,40,-0.594554938801989
"SITTING",2,40,-0.600393131230662
"STANDING",2,40,-0.607694266118594
"WALKING",2,40,-0.263447535461266
"WALKING_DOWNSTAIRS",2,40,-0.0960628386705871
"WALKING_UPSTAIRS",2,40,-0.245280103879352
"LAYING",3,40,-0.59842632621547
"SITTING",3,40,-0.587788224394425
"STANDING",3,40,-0.614465465564024
"WALKING",3,40,-0.273821880450755
"WALKING_DOWNSTAIRS",3,40,-0.210455379815377
"WALKING_UPSTAIRS",3,40,-0.332762922095754
"LAYING",4,40,-0.600275906171113
"SITTING",4,40,-0.599869209421733
"STANDING",4,40,-0.599570831279334
"WALKING",4,40,-0.333616309878114
"WALKING_DOWNSTAIRS",4,40,-0.237339899003328
"WALKING_UPSTAIRS",4,40,-0.319770178845403
"LAYING",5,40,-0.59602738987166
"SITTING",5,40,-0.595146662811886
"STANDING",5,40,-0.59099275703927
"WALKING",5,40,-0.255474472944623
"WALKING_DOWNSTAIRS",5,40,-0.137460044128552
"WALKING_UPSTAIRS",5,40,-0.230117115133272
"LAYING",6,40,-0.582493067922139
"SITTING",6,40,-0.591247923581489
"STANDING",6,40,-0.608446224524601
"WALKING",6,40,-0.189527910222856
"WALKING_DOWNSTAIRS",6,40,-0.00181489215397099
"WALKING_UPSTAIRS",6,40,-0.18605013871588
"LAYING",7,40,-0.617707648273444
"SITTING",7,40,-0.600501628002714
"STANDING",7,40,-0.618483174871523
"WALKING",7,40,-0.153995682216284
"WALKING_DOWNSTAIRS",7,40,-0.152405983197827
"WALKING_UPSTAIRS",7,40,-0.343348262765969
"LAYING",8,40,-0.59533678345489
"SITTING",8,40,-0.600673533320371
"STANDING",8,40,-0.605993482687088
"WALKING",8,40,-0.146954599336204
"WALKING_DOWNSTAIRS",8,40,0.00160145094544304
"WALKING_UPSTAIRS",8,40,-0.14179250066879
"LAYING",9,40,-0.627386626286394
"SITTING",9,40,-0.60997046876361
"STANDING",9,40,-0.613981626306951
"WALKING",9,40,-0.252828358805236
"WALKING_DOWNSTAIRS",9,40,-0.156501892566705
"WALKING_UPSTAIRS",9,40,-0.340098264025389
"LAYING",10,40,-0.604927518574841
